Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
190,SR4ONX,438.950000,-,7.600000,,88.5,88.5,FM,12.5,Olsztyn
191,SR4OS,438.400000,-,7.600000,Tone,67.0,67.0,FM,12.5,Ostróda
192,SR4PA,439.000000,-,7.600000,Tone,94.8,94.8,FM,12.5,Pasłęk, pow. elbląski
193,SR4PA,145.775000,-,0.600000,Tone,94.8,94.8,FM,12.5,Pasłęk
194,SR4RS,145.700000,-,0.600000,Tone,67.0,67.0,FM,12.5,Białystok
195,SR4S,145.575000,-,0.600000,Tone,67.0,67.0,FM,12.5,Sokółka
196,SR4SA,439.375000,-,7.600000,Tone,67.0,67.0,FM,12.5,Sokółka
197,SR4SN,438.875000,-,7.600000,Tone,67.0,88.5,FM,12.5,Szczytno
198,SR4SU,438.800000,-,7.600000,Tone,67.0,67.0,FM,12.5,Jeleniewo
199,SR4SUU,438.900000,-,7.600000,,88.5,88.5,FM,12.5,Suwałki, ul. Mickiewicza 15
200,SR4SW,439.325000,-,7.600000,,88.5,88.5,FM,12.5,Świętajno
201,SR4SWE,439.450000,-,7.600000,,88.5,88.5,DV,12.5,Świętajno
202,SR4U,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Białystok
203,SR4UBI,439.425000,-,7.600000,,88.5,88.5,DV,12.5,Białystok
204,SR4UG,438.775000,-,7.600000,,88.5,88.5,DV,12.5,Giby
205,SR4UVD,439.512500,-,7.600000,,88.5,88.5,DV,12.5,Góra Dylewska EMITEL
206,SR4UVE,438.600000,-,7.600000,Tone,94.8,88.5,FM,12.5,Pasłęk
207,SR4UVM,439.487500,-,7.600000,,88.5,88.5,DV,12.5,Miłki k/Giżycka  EMITEL
208,SR4UVN,439.462500,-,7.600000,,88.5,88.5,DV,12.5,Olsztyn
209,SR4X,145.600000,-,0.600000,Tone,67.0,88.5,FM,12.5,Juchnowiec
211,SR5CI,438.437500,-,7.600000,Tone,127.3,88.5,FM,12.5,Ciechanów
214,SR5DV,145.587500,-,0.600000,Tone,127.3,127.3,FM,12.5,
216,SR5E,439.375000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa-Ochota, ul. Częstochowska
218,SR5FWG,438.250000,-,7.600000,Tone,127.3,127.3,FM,12.5,Garwolin
219,SR5GM,439.225000,-,7.600000,Tone,127.3,127.3,FM,12.5,Grodzisk Mazowiecki
220,SR5GR,438.800000,-,7.600000,Tone,127.3,127.3,FM,12.5,GRÓJEC, ul. PIŁSUDSKIEGO 6
221,SR5ID,439.037500,-,7.600000,Tone,127.3,127.3,FM,12.5,Kuflew
223,SR5KO,439.200000,-,7.600000,Tone,118.8,118.8,FM,12.5,Kozienice
224,SR5KP,29.680000,split,29.580000,Tone,127.3,127.3,FM,12.5,Moszna-Parcela komin Elektrociepłowni Pruszków II
225,SR5KPN,438.200000,split,430.600000,Tone,127.3,127.3,FM,12.5,Zamczysko
226,SR5LOM,1298.400000,-,28.000000,,88.5,88.5,FM,12.5,Łomianki
227,SR5LW,1298.100000,-,28.000000,,88.5,88.5,FM,12.5,Pruszków
229,SR5MM,438.950000,-,7.600000,Tone,127.3,127.3,FM,12.5,Mińsk Mazowiecki
231,SR5ND,439.425000,-,7.600000,Tone,127.3,127.3,FM,12.5,Nowy Dwór Mazowiecki
232,SR5NRD,438.975000,split,431.375000,Tone,127.3,88.5,FM,12.5,Cybulin
233,SR5O,145.675000,-,0.600000,Tone,127.3,127.3,FM,12.5,Ostrołęka
234,SR5OK,439.262500,-,7.600000,,88.5,88.5,DV,12.5,Kadzidło
236,SR5OS,439.050000,-,7.600000,Tone,67.0,67.0,FM,12.5,Ostrołęka
237,SR5P,145.725000,split,145.125000,Tone,127.3,88.5,FM,12.5,Płock
238,SR5PL,439.125000,split,431.525000,Tone,127.3,88.5,FM,12.5,Płock
240,SR5PN,145.662500,-,0.600000,Tone,127.3,88.5,FM,12.5,Płońsk
241,SR5POT,439.150000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa, ul. Chełmżyńska
242,SR5PR,439.175000,-,7.600000,,88.5,88.5,FM,12.5,Pruszków
244,SR5R,145.600000,-,0.600000,Tone,127.3,88.5,FM,12.5,Pruszków
245,SR5RA,438.925000,-,7.600000,Tone,118.8,118.8,FM,12.5,Radom
246,SR5RAD,145.787500,-,0.600000,Tone,118.8,118.8,FM,12.5,RADOM - maszt Emitel
247,SR5RK,438.750000,-,7.600000,Tone,118.8,118.8,FM,12.5,Kozłowiec - Przysucha RTCN
248,SR5RR,439.275000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa - Mokotów, ul. Iberyjska
249,SR5S,145.612500,-,0.600000,Tone,127.3,127.3,FM,12.5,Siedlce
250,SR5SE,438.750000,-,7.600000,Tone,127.3,127.3,FM,12.5,Siedlce
252,SR5U,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Warszawa Ursus
253,SR5UOS,438.912500,-,7.600000,,88.5,88.5,DV,12.5,Ostrołęka
254,SR5UR,439.300000,-,7.600000,Tone,127.3,88.5,FM,12.5,Warszawa Ursus
256,SR5UVR,438.525000,-,7.600000,,88.5,88.5,DV,12.5,Radom
257,SR5VW,438.825000,-,7.600000,Tone,67.0,67.0,FM,12.5,Różan EMITEL
258,SR5W,145.750000,-,0.600000,Tone,127.3,127.3,FM,12.5,Warszawa - komin EC Kawęczyn
259,SR5WA,439.350000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa - komin EC Kawęczyn
260,SR5WAD,438.337500,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa - komin EC Kawęczyn
262,SR5WC,438.600000,-,7.600000,,88.5,88.5,DV,12.5,Moszna-Parcela komin Elektrociepłowni Pruszków II
264,SR5WF,439.200000,-,7.600000,,88.5,88.5,DV,12.5,Warszawa
