Callsign,Modes,TX Frequency,TX CTCSS,RX Frequency,RX CTCSS,RX 1750,Duplex,Offset,Status,Latitude,Longitude,QTH,Locator
SR2DMR,dmr,439.3125,false,431.7125,false,false,-,7.6,working,52.919733,17.836519,Szubin - Jablowo Paluckie / wieza p.poz,JO82WW
SR2DCH,dmr,438.3875,false,430.7875,false,false,-,7.6,working,53.660436,17.379398,Czluchow,JO83QP
SR2C,fm,145.6,94.8,145,94.8,false,-,0.6,working,54.452753,18.435949,Chwaszczyno EMITEL,JO94FK
SR2BY,fm,438.725,false,431.125,67,true,-,7.6,working,53.10927,17.990141,Bydgoszcz,JO83XC
SR2BW,fm,438.7,false,431.1,false,false,-,7.6,working,54.181,17.49345,Bytow - komin cieplowni Veolia Polnoc,JO84RE
SR2BT,fm,439.1,77,431.5,77,false,-,7.6,working,53.543337,18.06983,Bory Tucholskie,JO93AN
SR2BG,fm,145.725,67,145.125,67,false,-,0.6,working,53.113086,18.038022,Bydgoszcz,JO93AC
SR2BD,c4fm,439,false,431.4,false,false,-,7.6,working,53.112533,18.038706,Bydgoszcz,JO93AC
SR2BC,"dmr, c4fm",439.2875,false,431.6875,false,false,-,7.6,off,53.130098,17.945776,Bydgoszcz,JO83XD
SR23BN,"fm, dstar",1298.175,71.9,1270.175,false,false,-,28,working,50.307487,19.12194,Bedzin,JO90NH
SR1ZW,"dmr, c4fm",438.8375,false,431.2375,false,false,-,7.6,working,53.909511,14.254612,Swinoujscie,JO73DV
SR1ZK-B,dstar,439.3,false,431.7,false,false,-,7.6,working,53.334105,14.67537,Kolowo,JO73II
SR1ZDR,dmr,438.3125,false,430.7125,false,false,-,7.6,inprogress,53.301882,15.908961,Kalisz Pomorski,JO73WH
SR1Z,fm,145.6375,82.5,145.0375,82.5,true,-,0.6,working,53.334105,14.67537,Kolowo EMITEL,JO73II
SR1YWX,"fm, c4fm",439.2625,82.5,431.6625,82.5,false,-,7.6,working,53.3395,15.009,Stargard,JO73MI
SR1WX,fm,439.2,82.5,431.6,82.5,false,-,7.6,off,53.341126,15.039536,Stargard,JO73MI
SR1WU,fm,438.725,82.5,431.125,82.5,false,-,7.6,working,53.907989,14.246773,Swinoujscie,JO73CV
SR1WOY,c4fm,438.625,false,431.025,false,false,-,7.6,off,54.179524,15.56913,"Dworcowa 10, Kolobrzeg, Polska",JO74SE
SR1WAD,"dmr, c4fm",438.65,false,431.05,false,false,-,7.6,working,53.278132,16.483364,Walcz,JO83FG
SR1WA,fm,439.4,82.5,431.8,82.5,false,-,7.6,working,53.278012,16.48346,Walcz,JO83FG
SR1UVX,dmr,439.3875,false,431.7875,false,false,-,7.6,working,53.342431,15.024889,Stargard,JO73MI
SR1UVS,dstar,439.4125,false,431.8125,false,false,-,7.6,working,53.435441,14.539579,Szczecin,JO73GK
SR1UVH,dstar,439.025,false,431.425,false,false,-,7.6,working,53.909623,14.254937,Swinoujscie,JO73DV
SR1N,fm,145.675,false,145.075,false,true,-,0.6,working,54.20258,16.177512,Koszalin,JO84CE
SR1KN,fm,438.675,false,431.075,false,false,-,7.6,off,54.207675,16.225714,Koszalin Gora Chelmska - wieza widokowa,JO84CE
SR1DMR,dmr,145.75,false,145.15,false,false,-,0.6,working,54.124488,16.685599,Polanow,JO84IC
SR1W,"fm, c4fm",145.6125,82.5,145.0125,82.5,false,-,0.6,working,53.909511,14.254612,Swinoujscie,JO73DV
SR1W,"dmr, c4fm",145.6125,false,145.0125,false,false,-,0.6,working,53.909336,14.25465,Swinoujscie,JO73DV08
SR1TS,fm,29.67,82.5,29.57,82.5,false,-,0.1,off,53.458827,14.535034,Szczecin,JO73GL
SR1SZ,fm,439.075,82.5,431.475,82.5,false,-,7.6,working,53.458827,14.535034,Szczecin,JO73GL
SR1S,"fm, dmr, c4fm",145.77,82.5,145.17,82.5,false,-,0.6,inprogress,53.40396,14.52215,Szczecin,JO73GJ
SR1RG,fm,438.875,82.5,431.275,82.5,false,-,7.6,working,54.053464,15.256868,Trzebiatow,JO74PB
SR1RE,fm,439.15,false,431.55,88.5,false,-,7.6,working,53.772662,15.406737,Resko,JO73QS
SR1LS,fm,1298.3,false,1270.3,false,true,-,28,working,53.435441,14.539579,Szczecin,JO73GK
SR1KG,"dmr, c4fm",439.225,false,431.625,false,false,-,7.6,working,54.178284,15.553207,Kolobrzeg,JO74SE
SR1K,"fm, dmr",145.7,82.5,145.1,82.5,true,-,0.6,working,53.3395,15.009,Stargard,JO73MI
SR1G,"fm, echolink",145.625,false,145.025,88.5,false,-,0.6,working,54.178284,15.553207,Kolobrzeg,JO74SE
SR1D,fm,145.6125,77,145.0125,77,true,-,0.6,off,52.737737,14.705231,Debno,JO72IR
SR1CZ,fm,438.7125,false,431.1125,82.5,false,-,7.6,testing,53.547541,16.233773,Czaplinek,JO83CN
SR0DZ,"fm, fmpoland",439.5375,false,431.9375,false,false,-,7.6,working,52.500185,21.060421,Serock,KO02MM
SR0DN,fm,439.5125,false,431.9125,77,false,-,7.6,planned,51.916059,21.550892,Wola Rebkowska,KO01SV
SR1ASR,dmr,438.625,false,431.025,false,false,-,7.6,working,53.456806,14.547729,Szczecin,JO73GK
SR0WW,fm,438.825,82.5,431.225,82.5,false,-,7.6,working,53.844838,14.615891,Wolin,JO73HU
SR0CK,"fm, fmpoland",439.0625,false,431.4625,77,false,-,7.6,working,52.51452,21.068521,Serock,KO02MM
